Red,Green,Blue,Main Color
0,0,0,Black
0,0,10,Black
0,0,20,Black
0,0,30,Black
0,0,40,Black
0,0,50,Black
0,0,60,Black
0,0,70,Black
0,0,80,Black
0,0,90,Black
0,0,100,Black
0,0,110,Black
0,0,120,Black
0,0,130,Blue
0,0,140,Blue
0,0,150,Blue
0,0,160,Blue
0,0,170,Blue
0,0,180,Blue
0,0,190,Blue
0,0,200,Blue
0,0,210,Blue
0,0,220,Blue
0,0,230,Blue
0,0,240,Blue
0,0,250,Blue
0,10,0,Black
0,10,10,Black
0,10,20,Black
0,10,30,Black
0,10,40,Black
0,10,50,Black
0,10,60,Black
0,10,70,Black
0,10,80,Black
0,10,90,Black
0,10,100,Black
0,10,110,Black
0,10,120,Black
0,10,130,Blue
0,10,140,Blue
0,10,150,Blue
0,10,160,Blue
0,10,170,Blue
0,10,180,Blue
0,10,190,Blue
0,10,200,Blue
0,10,210,Blue
0,10,220,Blue
0,10,230,Blue
0,10,240,Blue
0,10,250,Blue
0,20,0,Black
0,20,10,Black
0,20,20,Black
0,20,30,Black
0,20,40,Black
0,20,50,Black
0,20,60,Black
0,20,70,Black
0,20,80,Black
0,20,90,Black
0,20,100,Black
0,20,110,Black
0,20,120,Black
0,20,130,Blue
0,20,140,Blue
0,20,150,Blue
0,20,160,Blue
0,20,170,Blue
0,20,180,Blue
0,20,190,Blue
0,20,200,Blue
0,20,210,Blue
0,20,220,Blue
0,20,230,Blue
0,20,240,Blue
0,20,250,Blue
0,30,0,Black
0,30,10,Black
0,30,20,Black
0,30,30,Black
0,30,40,Black
0,30,50,Black
0,30,60,Black
0,30,70,Black
0,30,80,Black
0,30,90,Black
0,30,100,Black
0,30,110,Black
0,30,120,Black
0,30,130,Blue
0,30,140,Blue
0,30,150,Blue
0,30,160,Blue
0,30,170,Blue
0,30,180,Blue
0,30,190,Blue
0,30,200,Blue
0,30,210,Blue
0,30,220,Blue
0,30,230,Blue
0,30,240,Blue
0,30,250,Blue
0,40,0,Black
0,40,10,Black
0,40,20,Black
0,40,30,Black
0,40,40,Black
0,40,50,Black
0,40,60,Black
0,40,70,Black
0,40,80,Black
0,40,90,Black
0,40,100,Black
0,40,110,Black
0,40,120,Black
0,40,130,Blue
0,40,140,Blue
0,40,150,Blue
0,40,160,Blue
0,40,170,Blue
0,40,180,Blue
0,40,190,Blue
0,40,200,Blue
0,40,210,Blue
0,40,220,Blue
0,40,230,Blue
0,40,240,Blue
0,40,250,Blue
0,50,0,Black
0,50,10,Black
0,50,20,Black
0,50,30,Black
0,50,40,Black
0,50,50,Black
0,50,60,Black
0,50,70,Black
0,50,80,Black
0,50,90,Black
0,50,100,Black
0,50,110,Black
0,50,120,Black
0,50,130,Blue
0,50,140,Blue
0,50,150,Blue
0,50,160,Blue
0,50,170,Blue
0,50,180,Blue
0,50,190,Blue
0,50,200,Blue
0,50,210,Blue
0,50,220,Blue
0,50,230,Blue
0,50,240,Blue
0,50,250,Blue
0,60,0,Black
0,60,10,Black
0,60,20,Black
0,60,30,Black
0,60,40,Black
0,60,50,Black
0,60,60,Black
0,60,70,Black
0,60,80,Black
0,60,90,Black
0,60,100,Black
0,60,110,Black
0,60,120,Black
0,60,130,Blue
0,60,140,Blue
0,60,150,Blue
0,60,160,Blue
0,60,170,Blue
0,60,180,Blue
0,60,190,Blue
0,60,200,Blue
0,60,210,Blue
0,60,220,Blue
0,60,230,Blue
0,60,240,Blue
0,60,250,Blue
0,70,0,Black
0,70,10,Black
0,70,20,Black
0,70,30,Black
0,70,40,Black
0,70,50,Black
0,70,60,Black
0,70,70,Black
0,70,80,Black
0,70,90,Black
0,70,100,Black
0,70,110,Black
0,70,120,Black
0,70,130,Blue
0,70,140,Blue
0,70,150,Blue
0,70,160,Blue
0,70,170,Blue
0,70,180,Blue
0,70,190,Blue
0,70,200,Blue
0,70,210,Blue
0,70,220,Blue
0,70,230,Blue
0,70,240,Blue
0,70,250,Blue
0,80,0,Black
0,80,10,Black
0,80,20,Black
0,80,30,Black
0,80,40,Black
0,80,50,Black
0,80,60,Black
0,80,70,Black
0,80,80,Black
0,80,90,Black
0,80,100,Black
0,80,110,Black
0,80,120,Black
0,80,130,Blue
0,80,140,Blue
0,80,150,Blue
0,80,160,Blue
0,80,170,Blue
0,80,180,Blue
0,80,190,Blue
0,80,200,Blue
0,80,210,Blue
0,80,220,Blue
0,80,230,Blue
0,80,240,Blue
0,80,250,Blue
0,90,0,Black
0,90,10,Black
0,90,20,Black
0,90,30,Black
0,90,40,Black
0,90,50,Black
0,90,60,Black
0,90,70,Black
0,90,80,Black
0,90,90,Black
0,90,100,Black
0,90,110,Black
0,90,120,Black
0,90,130,Blue
0,90,140,Blue
0,90,150,Blue
0,90,160,Blue
0,90,170,Blue
0,90,180,Blue
0,90,190,Blue
0,90,200,Blue
0,90,210,Blue
0,90,220,Blue
0,90,230,Blue
0,90,240,Blue
0,90,250,Blue
0,100,0,Black
0,100,10,Black
0,100,20,Black
0,100,30,Black
0,100,40,Black
0,100,50,Black
0,100,60,Black
0,100,70,Black
0,100,80,Black
0,100,90,Black
0,100,100,Black
0,100,110,Black
0,100,120,Black
0,100,130,Blue
0,100,140,Blue
0,100,150,Blue
0,100,160,Blue
0,100,170,Blue
